Name,FIPS,State,Population,Poverty
Crawford County,18025,IN,10363,1858
Cass County,18017,IN,36777,5353
Marion County,18097,IN,932652,165969
Wayne County,18177,IN,63523,10395
Butler County,19023,IA,14344,1479
Fremont County,19071,IA,6760,714
Hamilton County,19079,IA,14802,1452
Taylor County,19173,IA,6036,606
Union County,19175,IA,12089,1720
Worth County,19195,IA,7270,627
Ringgold County,19159,IA,4747,413
Adair County,19001,IA,6933,754
Chickasaw County,19037,IA,11846,793
Clarke County,19039,IA,9115,1177
Dickinson County,19059,IA,16902,1392
Johnson County,19103,IA,140737,25469
Keokuk County,19107,IA,10042,995
Tama County,19171,IA,16526,1975
Wapello County,19179,IA,34348,5132
Franklin County,19069,IA,9980,1362
Carroll County,19027,IA,19897,1707
Cedar County,19031,IA,18152,1256
Floyd County,19067,IA,15566,2258
Greene County,19073,IA,8827,731
Louisa County,19115,IA,11039,1120
Lyon County,19119,IA,11605,538
Traill County,38097,ND,7608,489
Dickey County,38021,ND,4719,247
Ward County,38101,ND,66782,6319
Pembina County,38067,ND,6751,498
Hettinger County,38041,ND,2373,228
Cass County,38017,ND,172382,18360
Emmons County,38029,ND,3256,322
Richland County,38077,ND,15122,1649
Adams County,38001,ND,2244,195
Eddy County,38027,ND,2217,240
Mercer County,38057,ND,8251,591
Ransom County,38073,ND,5154,331
Sioux County,38085,ND,4294,1641
Golden Valley County,38033,ND,1786,134
Towner County,38095,ND,2173,227
Divide County,38023,ND,2238,201
Sargent County,38081,ND,3804,159
Meigs County,39105,OH,22828,4483
Champaign County,39021,OH,37897,3845
Greene County,39057,OH,157358,18252
Lawrence County,39087,OH,59272,10712
Morgan County,39115,OH,14420,2774
Wyandot County,39175,OH,21648,1611
Erie County,39043,OH,73651,8608
Logan County,39091,OH,44753,5090
Summit County,39153,OH,531675,70281
Hancock County,17067,IL,17781,2423
Madison County,17119,IL,258887,34266
Grundy County,17063,IL,50094,3814
Kankakee County,17091,IL,106111,15039
Mercer County,17131,IL,15360,1482
DuPage County,17043,IL,916059,58397
Alexander County,17003,IL,6143,1553
Menard County,17129,IL,12112,1127
LaSalle County,17099,IL,106226,14186
Cook County,17031,IL,5112701,734470
Macon County,17115,IL,102004,17295
Stephenson County,17177,IL,44246,6000
Wayne County,17191,IL,16304,2164
Woodford County,17203,IL,37669,2651
Franklin County,17055,IL,38154,7425
McDonough County,17109,IL,27017,5928
McHenry County,17111,IL,305156,21281
Greeley County,20071,KS,1154,86
Ellis County,20051,KS,27569,4271
Linn County,20107,KS,9582,1565
Seward County,20175,KS,21737,3668
Johnson County,20091,KS,585678,31422
Miami County,20121,KS,32727,2254
Woodson County,20207,KS,3082,604
Ness County,20135,KS,2816,287
Bourbon County,20011,KS,14106,2271
Kiowa County,20097,KS,2307,155
Shawnee County,20177,KS,173158,19811
Chautauqua County,20019,KS,3269,605
Reno County,20155,KS,59870,7701
Doniphan County,20043,KS,6932,926
Haskell County,20081,KS,3969,418
Scott County,20171,KS,4829,292
Brown County,20013,KS,9502,1257
Phillips County,20147,KS,5208,511
Decatur County,20039,KS,2779,433
Brule County,46015,SD,5077,683
Gregory County,46053,SD,4142,594
Minnehaha County,46099,SD,183201,18246
Clark County,46025,SD,3596,325
Kingsbury County,46077,SD,4856,397
Clay County,46027,SD,11790,2644
Dewey County,46041,SD,5781,1809
Hughes County,46065,SD,16491,1855
Sanborn County,46111,SD,2324,205
Hand County,46059,SD,3191,262
Yankton County,46135,SD,21333,2372
Beadle County,46005,SD,18010,2910
Davison County,46035,SD,18963,2692
Jerauld County,46073,SD,1975,157
Stanley County,46117,SD,3005,140
Potter County,46107,SD,2225,167
Charles Mix County,46023,SD,9037,1716
Marshall County,46091,SD,4788,406
Perkins County,46105,SD,2844,261
Allegan County,26005,MI,114800,11890
Alger County,26003,MI,8107,905
Oceana County,26127,MI,26136,3916
Clare County,26035,MI,30243,6872
Isabella County,26073,MI,64236,16707
Tuscola County,26157,MI,51903,7380
Alpena County,26007,MI,28004,4002
Midland County,26111,MI,82022,8557
Oscoda County,26135,MI,8162,1321
Clinton County,26037,MI,77563,6838
Gratiot County,26057,MI,35178,5890
Lenawee County,26091,MI,93281,10608
Montcalm County,26117,MI,60662,8706
St. Clair County,26147,MI,157390,19954
Washtenaw County,26161,MI,346834,48500
Cass County,26027,MI,51088,6172
Roscommon County,26143,MI,23462,3924
Branch County,26023,MI,41041,6490
Jackson County,26075,MI,148808,20509
Macomb County,26099,MI,861656,90984
Baraga County,26013,MI,7200,1067
Eaton County,26045,MI,107659,10925
Montgomery County,17135,IL,25837,4284
Whiteside County,17195,IL,54873,5852
Adams County,17001,IL,64506,8031
Clinton County,17027,IL,35488,2733
DeKalb County,17037,IL,99681,16531
Edwards County,17047,IL,6363,649
Jasper County,17079,IL,9408,1288
Jefferson County,17081,IL,35505,6046
Vermilion County,17183,IL,74449,14081
Will County,17197,IL,679212,45834
Williamson County,17199,IL,64671,8964
Clark County,17023,IL,15447,1718
Douglas County,17041,IL,19296,2089
Effingham County,17049,IL,33601,3571
Fulton County,17057,IL,32479,4769
Greene County,17061,IL,12743,1666
Hamilton County,17065,IL,8073,747
Hardin County,17069,IL,3834,501
Henry County,17073,IL,48428,5235
Johnson County,17087,IL,10181,1097
Knox County,17095,IL,46294,8413
Livingston County,17105,IL,33702,5057
Scott County,17171,IL,4933,643
Tazewell County,17179,IL,130038,10744
Warren County,17187,IL,16019,2066
Harrison County,18061,IN,39343,4326
LaPorte County,18091,IN,101967,15490
Wabash County,18169,IN,29385,3387
Jasper County,18073,IN,32404,2648
Martin County,18101,IN,9884,1156
Porter County,18127,IN,164372,16249
Ripley County,18137,IN,27890,3323
Spencer County,18147,IN,20127,1871
Tipton County,18159,IN,14877,1270
Vigo County,18167,IN,98730,18815
Warrick County,18173,IN,61153,4218
DeKalb County,18033,IN,42485,4821
LaGrange County,18087,IN,38825,2489
Rush County,18139,IN,16348,2365
Boone County,18011,IN,64662,3848
Gogebic County,26053,MI,13828,2352
Meeker County,27093,MN,22689,1524
Rice County,27131,MN,57898,5301
Red Lake County,27125,MN,3980,416
Clay County,27027,MN,59791,7329
Fillmore County,27045,MN,20493,2201
Polk County,27119,MN,30434,3579
Sibley County,27143,MN,14742,1170
Watonwan County,27165,MN,10836,1451
Big Stone County,27011,MN,4853,491
Cass County,27021,MN,28833,3909
Hubbard County,27057,MN,20740,2452
Martin County,27091,MN,19550,2685
Nobles County,27105,MN,21315,2889
Sherburne County,27141,MN,92076,5912
Carver County,27019,MN,100951,4126
McLeod County,27085,MN,35455,3018
Ramsey County,27123,MN,530642,74112
Winona County,27169,MN,47085,6074
Dodge County,27039,MN,20505,1053
Crow Wing County,27035,MN,63225,6810
Wright County,27171,MN,132905,6122
Lincoln County,27081,MN,5498,598
Mille Lacs County,27095,MN,25281,3127
Carlton County,27017,MN,34105,3851
Kanabec County,27065,MN,15807,1578
Shelby County,39149,OH,48071,4240
Williams County,39171,OH,35514,3966
Columbiana County,39029,OH,99223,14196
Fulton County,39051,OH,41587,3263
Gallia County,39053,OH,29252,6055
Mahoning County,39099,OH,223309,39109
Scioto County,39145,OH,72411,16330
Morrow County,39117,OH,34664,3363
Preble County,39135,OH,40438,4100
Allen County,39003,OH,99233,13819
Crawford County,39033,OH,40931,6118
Guernsey County,39059,OH,38559,7664
Mercer County,39107,OH,40301,2591
Clark County,39023,OH,131347,19570
Lorain County,39093,OH,298141,40189
Montgomery County,39113,OH,513818,85528
Warren County,39165,OH,221258,10071
Ashtabula County,39007,OH,94629,18825
Sangamon County,17167,IL,192666,27995
Randolph County,17157,IL,28467,3612
Ogle County,17141,IL,50212,4787
Morgan County,17137,IL,30938,4382
White County,17193,IL,13495,1887
Henderson County,17071,IL,6750,527
McLean County,17113,IL,164486,24575
Perry County,17145,IL,18509,2974
Rock Island County,17161,IL,138884,19391
Wabash County,17185,IL,11429,1373
Cumberland County,17035,IL,10685,1483
Jo Daviess County,17085,IL,21380,1824
Lawrence County,17101,IL,13618,2212
Marshall County,17123,IL,11280,1193
Christian County,17021,IL,31171,3831
Jackson County,17077,IL,53972,14307
Peoria County,17143,IL,177693,27783
Piatt County,17147,IL,16328,846
Stark County,17175,IL,5343,826
Bond County,17005,IL,14824,2098
Carroll County,17015,IL,14070,1511
Jersey County,17083,IL,20973,2068
Marion County,19125,IA,31593,2466
Washington County,19183,IA,21709,2140
Wright County,19197,IA,12499,1461
Cass County,19029,IA,12827,1776
Cherokee County,19035,IA,10822,1201
Crawford County,19047,IA,16826,2978
Des Moines County,19057,IA,38562,6214
Fayette County,19065,IA,19132,2173
Harrison County,19085,IA,13795,1351
Kossuth County,19109,IA,14727,1602
Mills County,19129,IA,14815,1234
Monona County,19133,IA,8511,1242
Muscatine County,19139,IA,42090,4054
Osceola County,19143,IA,5946,745
Polk County,19153,IA,471026,48969
Webster County,19187,IA,33714,4629
Story County,19169,IA,86072,18022
Woodbury County,19193,IA,99792,12649
Black Hawk County,19013,IA,127289,20129
Grundy County,19075,IA,12097,677
Jones County,19105,IA,19416,1755
Mitchell County,19131,IA,10354,710
Montgomery County,19137,IA,9850,1180
Sac County,19161,IA,9590,947
Plymouth County,19149,IA,24714,2243
Buchanan County,19019,IA,20845,1812
Clinton County,19045,IA,45776,5988
Decatur County,19053,IA,7224,1331
Jefferson County,19101,IA,17267,2087
Allamakee County,19005,IA,13489,1478
Linn County,19113,IA,218281,22272
Dallas County,19049,IA,86583,4521
O'Brien County,19141,IA,13500,1440
Stanton County,20187,KS,2022,370
