Name,FIPS,State,Population,Poverty
Perry County,39127,OH,35444,6783
Pickaway County,39129,OH,53003,6431
Madison County,39097,OH,38609,3518
Muskingum County,39119,OH,83515,13396
Sandusky County,39143,OH,57698,6706
Van Wert County,39161,OH,27821,3090
Washington County,39167,OH,58671,8337
Auglaize County,39011,OH,45036,3773
Darke County,39037,OH,50719,5331
Ottawa County,39123,OH,40036,4044
Hardin County,39065,OH,29003,4029
Jackson County,39079,OH,31882,5983
Huron County,39077,OH,57565,7580
Athens County,39009,OH,56177,16942
Adams County,39001,OH,27431,5666
Medina County,39103,OH,176302,10627
Lucas County,39095,OH,421225,78848
Noble County,39121,OH,12026,1874
Seneca County,39147,OH,52012,6663
Stark County,39151,OH,362630,49165
Coshocton County,39031,OH,36053,5181
Delaware County,39041,OH,198250,9530
Geauga County,39055,OH,92860,5344
Hocking County,39073,OH,27751,3681
Lake County,39085,OH,226687,18325
Ross County,39141,OH,71005,12307
Cuyahoga County,39035,OH,1221310,213209
Holmes County,39075,OH,43027,4283
Miami County,39109,OH,104041,9521
Monroe County,39111,OH,13777,2356
Trumbull County,39155,OH,196590,33883
Wood County,39173,OH,123329,15936
Ashland County,39005,OH,51060,7048
Aurora County,46003,SD,2616,140
Grant County,46051,SD,7054,643
Tripp County,46123,SD,5319,1037
Ziebach County,46137,SD,2778,1181
Spink County,46115,SD,6337,627
Bon Homme County,46009,SD,5412,578
Brookings County,46011,SD,31112,4564
Fall River County,46047,SD,6538,913
Hamlin County,46057,SD,5847,332
Jackson County,46071,SD,3190,1448
Custer County,46033,SD,8436,1164
Hyde County,46069,SD,1280,135
Faulk County,46049,SD,2251,332
Hutchinson County,46067,SD,7052,675
Walworth County,46129,SD,5340,519
Buffalo County,46017,SD,2002,794
Day County,46037,SD,5337,893
Douglas County,46043,SD,2820,178
Harding County,46063,SD,1292,92
McPherson County,46089,SD,2196,304
Roberts County,46109,SD,10078,2027
Sully County,46119,SD,1296,103
Lincoln County,46083,SD,56207,2303
Lake County,46079,SD,11980,1526
Lawrence County,46081,SD,24406,3096
Codington County,46029,SD,27589,3551
Butte County,46019,SD,9840,1125
Corson County,46031,SD,4119,1844
Edmunds County,46045,SD,3779,177
Campbell County,46021,SD,1474,59
Bennett County,46007,SD,3320,1193
Haakon County,46055,SD,1979,241
Jones County,46075,SD,793,98
Meade County,46093,SD,26898,1847
Turner County,46125,SD,8123,886
Brown County,46013,SD,37790,3950
Hanson County,46061,SD,3395,260
McCook County,46087,SD,5386,521
Mellette County,46095,SD,1973,1042
Moody County,46101,SD,6356,726
Pennington County,46103,SD,107842,14833
Union County,46127,SD,15238,1305
Miner County,46097,SD,2169,148
Iron County,55051,WI,5558,809
Clark County,55019,WI,33916,4096
St. Croix County,55109,WI,87846,4601
Oconto County,55083,WI,37196,3396
Lincoln County,55069,WI,27018,2441
Waupaca County,55135,WI,49607,5156
Barron County,55005,WI,44339,4750
Sawyer County,55113,WI,16047,2601
Green Lake County,55047,WI,18469,2157
Price County,55099,WI,13181,1731
Marquette County,55077,WI,15046,1603
Marinette County,55075,WI,39450,5198
Milwaukee County,55079,WI,929362,176286
Shelby County,29205,MO,5727,927
Webster County,29225,MO,37392,6674
Atchison County,29005,MO,5136,620
Bates County,29013,MO,15924,1908
Benton County,29015,MO,18856,3346
Carter County,29035,MO,6000,801
Dade County,29057,MO,7372,1586
Racine County,55101,WI,190270,23643
Winnebago County,55139,WI,162424,18396
Forest County,55041,WI,8748,1515
Green County,55045,WI,36384,2568
Rusk County,55107,WI,13836,1677
Shawano County,55115,WI,40118,4202
Langlade County,55067,WI,18875,2498
Outagamie County,55087,WI,182206,14198
Vernon County,55123,WI,30243,4860
Columbia County,55021,WI,55513,3959
Kewaunee County,55061,WI,20166,1567
Brown County,55009,WI,254072,24825
Eau Claire County,55035,WI,99354,13728
Oneida County,55085,WI,34673,2725
Polk County,55095,WI,42843,3922
Washburn County,55129,WI,15461,2087
Waukesha County,55133,WI,395121,19083
Walworth County,55127,WI,100240,10666
Crawford County,55023,WI,15434,1912
Juneau County,55057,WI,24897,3748
Sauk County,55111,WI,62901,6228
Washington County,55131,WI,133873,6175
Chippewa County,55017,WI,61080,6278
Dane County,55025,WI,522163,56956
Douglas County,55031,WI,42121,5047
Jackson County,55053,WI,19195,2229
Iowa County,55049,WI,23358,2061
Ozaukee County,55089,WI,86789,4631
Portage County,55097,WI,67209,8099
Rock County,55105,WI,158476,20359
Taylor County,55119,WI,20002,1983
Adams County,55001,WI,18922,2437
Bayfield County,55007,WI,14830,1632
Monroe County,55081,WI,44898,5074
Wood County,55141,WI,72250,7418
Ashland County,55003,WI,15007,2604
Florence County,55037,WI,4254,438
Jefferson County,55055,WI,81518,6800
Linn County,29115,MO,11974,1843
Howell County,29091,MO,39430,8782
Johnson County,29101,MO,49035,7098
Laclede County,29105,MO,35077,5265
Maries County,29125,MO,8724,1482
Phelps County,29161,MO,41549,8569
Platte County,29165,MO,99505,6191
St. Francois County,29187,MO,59587,9249
St. Louis city,29510,MO,299689,65412
Andrew County,29003,MO,17256,1362
Butler County,29023,MO,41695,9893
Carroll County,29033,MO,8653,1255
Daviess County,29061,MO,8083,1176
Holt County,29087,MO,4310,434
Marion County,29127,MO,27143,4685
Osage County,29151,MO,13295,983
Ripley County,29181,MO,13416,3406
Warren County,29219,MO,34150,4581
Washington County,29221,MO,23594,4749
Christian County,29043,MO,84672,8433
DeKalb County,29063,MO,9186,1120
Harrison County,29081,MO,8297,1373
Lafayette County,29107,MO,31979,4017
Adair County,29001,MO,22758,5421
Scotland County,29199,MO,4801,639
Sullivan County,29211,MO,6048,1024
Clark County,29045,MO,6622,990
Jasper County,29097,MO,117475,20089
Lewis County,29111,MO,9181,1709
McDonald County,29119,MO,22478,4177
Perry County,29157,MO,18833,1392
Polk County,29167,MO,30160,4964
Ray County,29177,MO,22569,2677
Harlan County,31083,NE,3366,354
York County,31185,NE,12729,1243
Buffalo County,31019,NE,46809,6318
Colfax County,31037,NE,10169,1291
Hitchcock County,31087,NE,2759,311
Platte County,31141,NE,32725,2836
Polk County,31143,NE,5133,393
Box Butte County,31013,NE,10756,1514
Brown County,31017,NE,2963,385
Sheridan County,31161,NE,5170,886
Lancaster County,31109,NE,299690,37502
Nuckolls County,31129,NE,4157,467
Banner County,31007,NE,719,42
Frontier County,31063,NE,2525,226
Douglas County,31055,NE,547883,65887
Richardson County,31147,NE,7796,954
Holt County,31089,NE,10002,783
Furnas County,31065,NE,4636,512
Saline County,31151,NE,13292,2030
Thurston County,31173,NE,7103,1813
Washington County,31177,NE,20026,1587
Cherry County,31031,NE,5693,446
Dodge County,31053,NE,35542,4452
Garden County,31069,NE,1827,141
Morrill County,31123,NE,4620,404
Nemaha County,31127,NE,6446,746
Thomas County,31171,NE,645,54
Dakota County,31043,NE,19882,3227
Antelope County,31003,NE,6261,694
Chase County,31029,NE,3712,359
Clay County,31035,NE,6090,641
Custer County,31041,NE,10623,1222
Franklin County,31061,NE,2911,424
Hamilton County,31081,NE,9049,468
Jefferson County,31095,NE,7026,790
Keith County,31101,NE,7978,993
Loup County,31115,NE,605,52
Perkins County,31135,NE,2861,144
Saunders County,31155,NE,20883,1700
Scotts Bluff County,31157,NE,35164,4769
Keya Paha County,31103,NE,760,57
Kimball County,31105,NE,3579,388
Lincoln County,31111,NE,34310,3397
Pierce County,31139,NE,6961,555
Sioux County,31165,NE,1219,104
Burt County,31021,NE,6409,788
Cass County,31025,NE,25271,1723
Cuming County,31039,NE,8777,606
Dixon County,31051,NE,5632,533
Dundy County,31057,NE,1872,198
Grant County,31075,NE,686,109
Greeley County,31077,NE,2348,239
Hall County,31079,NE,60052,7078
Hayes County,31085,NE,893,99
Otoe County,31131,NE,15640,1720
Red Willow County,31145,NE,10344,1215
Cedar County,31027,NE,8310,595
Dawes County,31045,NE,7781,1144
Johnson County,31097,NE,4111,351
Cheyenne County,31033,NE,9471,906
Dawson County,31047,NE,23387,2960
Garfield County,31071,NE,1935,178
McPherson County,31117,NE,395,68
Nance County,31125,NE,3439,392
Stanton County,31167,NE,5892,366
Valley County,31175,NE,4123,388
Mercer County,29129,MO,3586,362
Wright County,29229,MO,17899,4339
Clay County,29047,MO,239395,19551
Dent County,29065,MO,15300,3428
Saline County,29195,MO,21653,3517
Worth County,29227,MO,1973,271
Grundy County,29079,MO,9692,1677
Morgan County,29141,MO,19856,4630
Reynolds County,29179,MO,6115,1189
St. Louis County,29189,MO,976200,95123
Stone County,29209,MO,31158,4025
Barry County,29009,MO,34990,7370
Boone County,29019,MO,168542,30183
Cole County,29051,MO,71670,7416
Crawford County,29055,MO,23718,4384
Iron County,29093,MO,9807,2187
Livingston County,29117,MO,13842,2247
Moniteau County,29135,MO,14653,1760
Pemiscot County,29155,MO,16358,4480
Pettis County,29159,MO,41503,6794
Shannon County,29203,MO,8076,2217
Randolph County,29175,MO,22672,3712
Dunklin County,29069,MO,29205,7505
Franklin County,29071,MO,101687,10638
Howard County,29089,MO,9372,1326
Jackson County,29095,MO,684855,100359
Miller County,29131,MO,24741,4173
Putnam County,29171,MO,4682,794
Taney County,29213,MO,53350,7839
Buchanan County,29021,MO,84297,14519
Caldwell County,29025,MO,8708,1381
Cass County,29037,MO,102209,9173
Clinton County,29049,MO,19861,1761
Dallas County,29059,MO,16374,2186
Hickory County,29085,MO,9310,1607
Lincoln County,29113,MO,55596,6128
Monroe County,29137,MO,8498,1143
Newton County,29145,MO,57135,7714
Pike County,29163,MO,16099,2438
St. Charles County,29183,MO,385879,19984
Cape Girardeau County,29031,MO,75282,12328
