FIPS,state,county,population,poverty,drowningdeaths,povertyratio,deathpopulationratio,deathpovertyratio
39015,OH,Brown County,42846,6557,15,15.30%,0.04%,0.23%
26069,MI,Iosco County,24813,3774,10,15.21%,0.04%,0.27%
18091,IN,La Porte County,101967,15490,29,15.19%,0.03%,0.19%
55043,WI,Grant County,48031,7278,12,15.15%,0.03%,0.17%
26151,MI,Sanilac County,40675,6150,11,15.12%,0.03%,0.18%
29169,MO,Pulaski County,43055,6497,15,15.09%,0.04%,0.23%
29105,MO,Laclede County,35077,5265,11,15.01%,0.03%,0.21%
18165,IN,Vermillion County,15252,2280,10,14.95%,0.07%,0.44%
39033,OH,Crawford County,40931,6118,11,14.95%,0.03%,0.18%
26077,MI,Kalamazoo County,254596,38054,70,14.95%,0.03%,0.18%
19179,IA,Wapello County,34348,5132,16,14.94%,0.05%,0.31%
17113,IL,McLean County,164486,24575,25,14.94%,0.02%,0.10%
31119,NE,Madison County,34009,5069,13,14.90%,0.04%,0.26%
39023,OH,Clark County,131347,19570,41,14.90%,0.03%,0.21%
18067,IN,Howard County,80868,12046,18,14.90%,0.02%,0.15%
26159,MI,Van Buren County,74460,11060,24,14.85%,0.03%,0.22%
26149,MI,St. Joseph County,59829,8884,17,14.85%,0.03%,0.19%
39101,OH,Marion County,59343,8790,16,14.81%,0.03%,0.18%
17163,IL,St. Clair County,258079,38099,73,14.76%,0.03%,0.19%
29029,MO,Camden County,44711,6599,25,14.76%,0.06%,0.38%
29213,MO,Taney County,53350,7839,16,14.69%,0.03%,0.20%
29095,MO,Jackson County,684855,100359,198,14.65%,0.03%,0.20%
18071,IN,Jackson County,42849,6268,10,14.63%,0.02%,0.16%
18017,IN,Cass County,36777,5353,11,14.56%,0.03%,0.21%
17167,IL,Sangamon County,192666,27995,42,14.53%,0.02%,0.15%
29101,MO,Johnson County,49035,7098,10,14.48%,0.02%,0.14%
17031,IL,Cook County,5112701,734470,1354,14.37%,0.03%,0.18%
26117,MI,Montcalm County,60662,8706,20,14.35%,0.03%,0.23%
39029,OH,Columbiana County,99223,14196,20,14.31%,0.02%,0.14%
26007,MI,Alpena County,28004,4002,11,14.29%,0.04%,0.28%
26157,MI,Tuscola County,51903,7380,18,14.22%,0.04%,0.24%
39167,OH,Washington County,58671,8337,21,14.21%,0.04%,0.25%
26165,MI,Wexford County,32852,4665,15,14.20%,0.05%,0.32%
19111,IA,Lee County,32845,4658,19,14.18%,0.06%,0.41%
17091,IL,Kankakee County,106111,15039,33,14.17%,0.03%,0.22%
17137,IL,Morgan County,30938,4382,13,14.16%,0.04%,0.30%
27137,MN,St. Louis County,191809,26991,64,14.07%,0.03%,0.24%
26161,MI,Washtenaw County,346834,48500,70,13.98%,0.02%,0.14%
27123,MN,Ramsey County,530642,74112,182,13.97%,0.03%,0.25%
17161,IL,Rock Island County,138884,19391,40,13.96%,0.03%,0.21%
39003,OH,Allen County,99233,13819,16,13.93%,0.02%,0.12%
17199,IL,Williamson County,64671,8964,27,13.86%,0.04%,0.30%
55035,WI,Eau Claire County,99354,13728,27,13.82%,0.03%,0.20%
39005,OH,Ashland County,51060,7048,11,13.80%,0.02%,0.16%
26075,MI,Jackson County,148808,20509,35,13.78%,0.02%,0.17%
46103,SD,Pennington County,107842,14833,25,13.75%,0.02%,0.17%
19187,IA,Webster County,33714,4629,12,13.73%,0.04%,0.26%
20173,KS,Sedgwick County,506720,69506,170,13.72%,0.03%,0.25%
39151,OH,Stark County,362630,49165,56,13.56%,0.02%,0.11%
27021,MN,Cass County,28833,3909,16,13.56%,0.06%,0.41%
39139,OH,Richland County,113445,15321,10,13.51%,0.01%,0.07%
29145,MO,Newton County,57135,7714,13,13.50%,0.02%,0.17%
39093,OH,Lorain County,298141,40189,70,13.48%,0.02%,0.17%
29219,MO,Warren County,34150,4581,12,13.41%,0.04%,0.26%
17099,IL,LaSalle County,106226,14186,25,13.35%,0.02%,0.18%
18005,IN,Bartholomew County,81340,10859,20,13.35%,0.03%,0.18%
18003,IN,Allen County,366401,48580,88,13.26%,0.02%,0.18%
17119,IL,Madison County,258887,34266,83,13.24%,0.03%,0.24%
39153,OH,Summit County,531675,70281,102,13.22%,0.02%,0.15%
55075,WI,Marinette County,39450,5198,15,13.18%,0.04%,0.29%
39083,OH,Knox County,57946,7593,10,13.10%,0.02%,0.13%
19045,IA,Clinton County,45776,5988,17,13.08%,0.04%,0.28%
26063,MI,Huron County,30894,4030,11,13.04%,0.04%,0.27%
20061,KS,Geary County,32911,4292,10,13.04%,0.03%,0.23%
18099,IN,Marshall County,45608,5918,15,12.98%,0.03%,0.25%
26041,MI,Delta County,35485,4588,17,12.93%,0.05%,0.37%
39173,OH,Wood County,123329,15936,21,12.92%,0.02%,0.13%
29209,MO,Stone County,31158,4025,11,12.92%,0.04%,0.27%
27145,MN,Stearns County,151561,19552,42,12.90%,0.03%,0.22%
27169,MN,Winona County,47085,6074,11,12.90%,0.02%,0.18%
55063,WI,La Crosse County,112914,14559,29,12.89%,0.03%,0.20%
20155,KS,Reno County,59870,7701,19,12.86%,0.03%,0.25%
55105,WI,Rock County,158476,20359,43,12.85%,0.03%,0.21%
18111,IN,Newton County,13738,1762,10,12.83%,0.07%,0.57%
39147,OH,Seneca County,52012,6663,17,12.81%,0.03%,0.26%
39157,OH,Tuscarawas County,90912,11645,17,12.81%,0.02%,0.15%
39133,OH,Portage County,154901,19808,21,12.79%,0.01%,0.11%
26109,MI,Menominee County,22656,2889,12,12.75%,0.05%,0.42%
26147,MI,St. Clair County,157390,19954,67,12.68%,0.04%,0.34%
19193,IA,Woodbury County,99792,12649,31,12.68%,0.03%,0.25%
31047,NE,Dawson County,23387,2960,10,12.66%,0.04%,0.34%
29107,MO,Lafayette County,31979,4017,13,12.56%,0.04%,0.32%
39017,OH,Butler County,367360,46018,63,12.53%,0.02%,0.14%
31109,NE,Lancaster County,299690,37502,49,12.51%,0.02%,0.13%
17001,IL,Adams County,64506,8031,20,12.45%,0.03%,0.25%
55101,WI,Racine County,190270,23643,51,12.43%,0.03%,0.22%
18093,IN,Lawrence County,44695,5549,19,12.42%,0.04%,0.34%
18039,IN,Elkhart County,200909,24885,62,12.39%,0.03%,0.25%
39013,OH,Belmont County,64062,7900,19,12.33%,0.03%,0.24%
55059,WI,Kenosha County,164150,20205,52,12.31%,0.03%,0.26%
27027,MN,Clay County,59791,7329,21,12.26%,0.04%,0.29%
27061,MN,Itasca County,44098,5376,21,12.19%,0.05%,0.39%
39129,OH,Pickaway County,53003,6431,12,12.13%,0.02%,0.19%
38093,ND,Stutsman County,19410,2352,10,12.12%,0.05%,0.43%
26027,MI,Cass County,51088,6172,20,12.08%,0.04%,0.32%
19163,IA,Scott County,168966,20389,46,12.07%,0.03%,0.23%
55097,WI,Portage County,67209,8099,20,12.05%,0.03%,0.25%
19127,IA,Marshall County,38675,4651,20,12.03%,0.05%,0.43%
31055,NE,Douglas County,547883,65887,98,12.03%,0.02%,0.15%
18153,IN,Sullivan County,18405,2209,11,12.00%,0.06%,0.50%
55031,WI,Douglas County,42121,5047,23,11.98%,0.06%,0.46%
18123,IN,Perry County,17325,2067,11,11.93%,0.06%,0.53%
26067,MI,Ionia County,60391,7129,13,11.80%,0.02%,0.18%
31079,NE,Hall County,60052,7078,13,11.79%,0.02%,0.18%
55033,WI,Dunn County,41074,4830,13,11.76%,0.03%,0.27%
26043,MI,Dickinson County,24969,2933,13,11.75%,0.05%,0.44%
26081,MI,Kent County,637355,74720,139,11.72%,0.02%,0.19%
39043,OH,Erie County,73651,8608,14,11.69%,0.02%,0.16%
39143,OH,Sandusky County,57698,6706,10,11.62%,0.02%,0.15%
39057,OH,Greene County,157358,18252,25,11.60%,0.02%,0.14%
20169,KS,Saline County,53215,6132,20,11.52%,0.04%,0.33%
26101,MI,Manistee County,23122,2652,10,11.47%,0.04%,0.38%
20177,KS,Shawnee County,173158,19811,53,11.44%,0.03%,0.27%
18107,IN,Montgomery County,36709,4198,14,11.44%,0.04%,0.33%
19061,IA,Dubuque County,93255,10646,19,11.42%,0.02%,0.18%
26091,MI,Lenawee County,93281,10608,21,11.37%,0.02%,0.20%
18133,IN,Putnam County,31914,3620,11,11.34%,0.03%,0.30%
55139,WI,Winnebago County,162424,18396,58,11.33%,0.04%,0.32%
39169,OH,Wayne County,111821,12618,13,11.28%,0.01%,0.10%
18145,IN,Shelby County,43556,4903,10,11.26%,0.02%,0.20%
26115,MI,Monroe County,148255,16493,29,11.12%,0.02%,0.18%
27115,MN,Pine County,27418,3027,14,11.04%,0.05%,0.46%
29113,MO,Lincoln County,55596,6128,17,11.02%,0.03%,0.28%
27047,MN,Freeborn County,29923,3295,13,11.01%,0.04%,0.40%
27005,MN,Becker County,33430,3678,14,11.00%,0.04%,0.38%
18061,IN,Harrison County,39343,4326,14,11.00%,0.04%,0.32%
18079,IN,Jennings County,27350,2987,15,10.92%,0.06%,0.50%
55025,WI,Dane County,522163,56956,117,10.91%,0.02%,0.21%
17073,IL,Henry County,48428,5235,11,10.81%,0.02%,0.21%
39063,OH,Hancock County,73597,7937,13,10.78%,0.02%,0.16%
27035,MN,Crow Wing County,63225,6810,29,10.77%,0.05%,0.43%
19155,IA,Pottawattamie County,91022,9765,23,10.73%,0.03%,0.24%
55005,WI,Barron County,44339,4750,13,10.71%,0.03%,0.27%
17195,IL,Whiteside County,54873,5852,13,10.66%,0.02%,0.22%
38017,ND,Cass County,172382,18360,48,10.65%,0.03%,0.26%
55127,WI,Walworth County,100240,10666,31,10.64%,0.03%,0.29%
29027,MO,Callaway County,40745,4335,10,10.64%,0.03%,0.23%
26099,MI,Macomb County,861656,90984,197,10.56%,0.02%,0.22%
18109,IN,Morgan County,68534,7225,16,10.54%,0.02%,0.22%
27067,MN,Kandiyohi County,41941,4409,15,10.51%,0.04%,0.34%
39037,OH,Darke County,50719,5331,11,10.51%,0.02%,0.21%
39089,OH,Licking County,169176,17750,31,10.49%,0.02%,0.18%
29071,MO,Franklin County,101687,10638,35,10.46%,0.03%,0.33%
27053,MN,Hennepin County,1223987,127872,339,10.45%,0.03%,0.27%
26111,MI,Midland County,82022,8557,14,10.43%,0.02%,0.16%
19153,IA,Polk County,471026,48969,113,10.40%,0.02%,0.23%
55135,WI,Waupaca County,49607,5156,10,10.39%,0.02%,0.19%
26005,MI,Allegan County,114800,11890,24,10.36%,0.02%,0.20%
29051,MO,Cole County,71670,7416,20,10.35%,0.03%,0.27%
27009,MN,Benton County,39449,4071,15,10.32%,0.04%,0.37%
55017,WI,Chippewa County,61080,6278,22,10.28%,0.04%,0.35%
55141,WI,Wood County,72250,7418,22,10.27%,0.03%,0.30%
26155,MI,Shiawassee County,67327,6906,20,10.26%,0.03%,0.29%
19113,IA,Linn County,218281,22272,40,10.20%,0.02%,0.18%
39039,OH,Defiance County,37420,3809,16,10.18%,0.04%,0.42%
27097,MN,Morrison County,32589,3317,13,10.18%,0.04%,0.39%
26045,MI,Eaton County,107659,10925,26,10.15%,0.02%,0.24%
19033,IA,Cerro Gordo County,41906,4252,19,10.15%,0.05%,0.45%
39135,OH,Preble County,40438,4100,13,10.14%,0.03%,0.32%
39123,OH,Ottawa County,40036,4044,18,10.10%,0.05%,0.45%
26087,MI,Lapeer County,86208,8691,21,10.08%,0.02%,0.24%
18019,IN,Clark County,114572,11544,29,10.08%,0.03%,0.25%
17007,IL,Boone County,53026,5341,15,10.07%,0.03%,0.28%
55071,WI,Manitowoc County,78223,7799,21,9.97%,0.03%,0.27%
29043,MO,Christian County,84672,8433,14,9.96%,0.02%,0.17%
46099,SD,Minnehaha County,183201,18246,33,9.96%,0.02%,0.18%
39075,OH,Holmes County,43027,4283,10,9.95%,0.02%,0.23%
55111,WI,Sauk County,62901,6228,16,9.90%,0.03%,0.26%
31111,NE,Lincoln County,34310,3397,14,9.90%,0.04%,0.41%
18127,IN,Porter County,164372,16249,37,9.89%,0.02%,0.23%
18085,IN,Kosciusko County,77232,7584,21,9.82%,0.03%,0.28%
18043,IN,Floyd County,75690,7432,25,9.82%,0.03%,0.34%
55009,WI,Brown County,254072,24825,42,9.77%,0.02%,0.17%
29189,MO,St. Louis County,976200,95123,214,9.74%,0.02%,0.23%
39117,OH,Morrow County,34664,3363,10,9.70%,0.03%,0.30%
26055,MI,Grand Traverse County,90255,8703,34,9.64%,0.04%,0.39%
29099,MO,Jefferson County,221148,21195,59,9.58%,0.03%,0.28%
