State,County,County Code,Deaths
Ohio,"Greene County, OH",39057,25
Ohio,"Hamilton County, OH",39061,172
Ohio,"Hancock County, OH",39063,13
Ohio,"Holmes County, OH",39075,10
Ohio,"Jefferson County, OH",39081,10
Ohio,"Knox County, OH",39083,10
Ohio,"Lake County, OH",39085,45
Ohio,"Lawrence County, OH",39087,20
Ohio,"Licking County, OH",39089,31
Ohio,"Lorain County, OH",39093,70
Ohio,"Lucas County, OH",39095,113
Ohio,"Mahoning County, OH",39099,40
Ohio,"Marion County, OH",39101,16
Ohio,"Medina County, OH",39103,26
Ohio,"Mercer County, OH",39107,10
Ohio,"Miami County, OH",39109,20
Ohio,"Montgomery County, OH",39113,139
Ohio,"Morgan County, OH",39115,10
Ohio,"Morrow County, OH",39117,10
Ohio,"Muskingum County, OH",39119,13
Ohio,"Ottawa County, OH",39123,18
Ohio,"Pickaway County, OH",39129,12
Ohio,"Portage County, OH",39133,21
Ohio,"Preble County, OH",39135,13
Ohio,"Putnam County, OH",39137,11
Ohio,"Richland County, OH",39139,10
Ohio,"Ross County, OH",39141,23
Ohio,"Sandusky County, OH",39143,10
Ohio,"Scioto County, OH",39145,19
Ohio,"Seneca County, OH",39147,17
Ohio,"Shelby County, OH",39149,13
Ohio,"Stark County, OH",39151,56
Ohio,"Summit County, OH",39153,102
Ohio,"Trumbull County, OH",39155,38
Ohio,"Tuscarawas County, OH",39157,17
Ohio,"Warren County, OH",39165,49
Ohio,"Washington County, OH",39167,21
Ohio,"Wayne County, OH",39169,13
Ohio,"Wood County, OH",39173,21
Ohio,,,2432
Wisconsin,"Barron County, WI",55005,13
Wisconsin,"Brown County, WI",55009,42
Wisconsin,"Chippewa County, WI",55017,22
Wisconsin,"Columbia County, WI",55021,12
Wisconsin,"Dane County, WI",55025,117
Wisconsin,"Dodge County, WI",55027,14
Wisconsin,"Douglas County, WI",55031,23
Wisconsin,"Dunn County, WI",55033,13
Wisconsin,"Eau Claire County, WI",55035,27
Wisconsin,"Fond du Lac County, WI",55039,23
Wisconsin,"Grant County, WI",55043,12
Wisconsin,"Jefferson County, WI",55055,19
Wisconsin,"Kenosha County, WI",55059,52
Wisconsin,"La Crosse County, WI",55063,29
Wisconsin,"Lincoln County, WI",55069,12
Wisconsin,"Manitowoc County, WI",55071,21
Wisconsin,"Marathon County, WI",55073,39
Wisconsin,"Marinette County, WI",55075,15
Wisconsin,"Milwaukee County, WI",55079,275
Wisconsin,"Oneida County, WI",55085,14
Wisconsin,"Outagamie County, WI",55087,38
Wisconsin,"Ozaukee County, WI",55089,12
Wisconsin,"Pierce County, WI",55093,11
Wisconsin,"Polk County, WI",55095,12
Wisconsin,"Portage County, WI",55097,20
Wisconsin,"Racine County, WI",55101,51
Wisconsin,"Rock County, WI",55105,43
Wisconsin,"St. Croix County, WI",55109,23
Wisconsin,"Sauk County, WI",55111,16
Wisconsin,"Sheboygan County, WI",55117,35
Wisconsin,"Walworth County, WI",55127,31
Wisconsin,"Washington County, WI",55131,19
Wisconsin,"Waukesha County, WI",55133,65
Wisconsin,"Waupaca County, WI",55135,10
Wisconsin,"Winnebago County, WI",55139,58
Wisconsin,"Wood County, WI",55141,22
Wisconsin,,,1452
Iowa,"Black Hawk County, IA",19013,27
Iowa,"Cerro Gordo County, IA",19033,19
Iowa,"Clinton County, IA",19045,17
Iowa,"Dallas County, IA",19049,13
Iowa,"Des Moines County, IA",19057,14
Iowa,"Dubuque County, IA",19061,19
Iowa,"Jasper County, IA",19099,10
Iowa,"Johnson County, IA",19103,20
Iowa,"Lee County, IA",19111,19
Iowa,"Linn County, IA",19113,40
Iowa,"Marshall County, IA",19127,20
